name,description,category,subcategory,url
audioread,Cross-library audio decoding (GStreamer + Core Audio + MAD + FFmpeg),Audio Processing & I/O,,https://github.com/beetbox/audioread
audiomentations,Audio data augmentation library for machine learning,Audio Processing & I/O,,https://github.com/iver56/audiomentations
babycat,Audio manipulation library for Rust Python WebAssembly and C,Audio Processing & I/O,,https://github.com/babycat-io/babycat
matchering,Open source audio matching and mastering,Audio Processing & I/O,,https://github.com/sergree/matchering
Matchering-cli,Command line application for Matchering 2.0,Audio Processing & I/O,,https://github.com/sergree/matchering-cli
noisereduce,Noise reduction using spectral gating,Audio Processing & I/O,,https://github.com/timsainb/noisereduce
numpy & scipy.io.wavfile,Read/write and manipulate WAV files,Audio Processing & I/O,,https://docs.scipy.org/doc/scipy/reference/io.html
pedalboard,Spotify's library for audio effects and processing,Audio Processing & I/O,,https://github.com/spotify/pedalboard
PyDub,Manipulate audio with a simple and easy high level interface,Audio Processing & I/O,,https://github.com/jiaaro/pydub
pyAudioProcessing,Audio feature extraction classification and segmentation,Audio Processing & I/O,,https://github.com/jsingh811/pyAudioProcessing
SoundDevice,Play and record audio with Python,Audio Processing & I/O,,https://github.com/spatialaudio/python-sounddevice
soundfile,Read and write sound files using libsndfile,Audio Processing & I/O,,https://github.com/bastibe/SoundFile
torch-audiomentations,Fast GPU audio data augmentation for PyTorch,Audio Processing & I/O,,https://github.com/asteroid-team/torch-audiomentations
torchaudio,Audio data manipulation and transformation powered by PyTorch,Audio Processing & I/O,,https://github.com/pytorch/audio
wave,Read and write WAV files (Python standard library),Audio Processing & I/O,,https://docs.python.org/3/library/wave.html
aubio,Library for audio and music analysis including pitch and beat detection,Analysis & Feature Extraction,,https://github.com/aubio/aubio
audioFlux,Library for audio and music analysis and feature extraction,Analysis & Feature Extraction,,https://github.com/libAudioFlux/audioFlux
Essentia,C++ library with Python bindings for audio analysis and MIR,Analysis & Feature Extraction,,https://github.com/MTG/essentia
librosa,Python package for music and audio analysis,Analysis & Feature Extraction,,https://github.com/librosa/librosa
Madmom,Audio signal processing library focused on MIR tasks,Analysis & Feature Extraction,,https://github.com/CPJKU/madmom
mir_eval,Evaluation functions for MIR and audio signal processing algorithms,Analysis & Feature Extraction,,https://github.com/craffel/mir_eval
mirdata,Python library for working with MIR datasets,Analysis & Feature Extraction,,https://github.com/mir-dataset-loaders/mirdata
nnAudio,GPU audio processing using PyTorch neural networks,Analysis & Feature Extraction,,https://github.com/KinWaiCheuk/nnAudio
pyAudioAnalysis,Audio feature extraction classification segmentation and visualization,Analysis & Feature Extraction,,https://github.com/tyiannak/pyAudioAnalysis
Pyo,Python DSP module with synthesis and analysis capabilities,Analysis & Feature Extraction,,https://github.com/belangeo/pyo
scipy.signal,Signal processing routines for SciPy,Analysis & Feature Extraction,,https://docs.scipy.org/doc/scipy/reference/signal.html
timeside,Framework for audio analysis imaging transcoding and streaming,Analysis & Feature Extraction,,https://github.com/Parisson/TimeSide
CLAP (LAION),Contrastive Language-Audio Pretraining for zero-shot audio classification,Audio Embeddings & Representations,,https://github.com/LAION-AI/CLAP
CLAP (Microsoft),Learning audio concepts from natural language supervision,Audio Embeddings & Representations,,https://github.com/microsoft/CLAP
OpenL3,Open-source deep audio and image embeddings,Audio Embeddings & Representations,,https://github.com/marl/openl3
panns-inference,Pretrained audio neural networks for audio tagging and sound event detection,Audio Embeddings & Representations,,https://github.com/qiuqiangkong/panns_inference
wav2vec2,Self-supervised speech representations from Facebook AI,Audio Embeddings & Representations,,https://huggingface.co/docs/transformers/model_doc/wav2vec2
Whisper,OpenAI's robust multilingual speech recognition model,Speech Processing,Speech-to-Text,https://github.com/openai/whisper
faster-whisper,CTranslate2 reimplementation of Whisper up to 4x faster,Speech Processing,Speech-to-Text,https://github.com/SYSTRAN/faster-whisper
WhisperX,Whisper with word-level timestamps and speaker diarization,Speech Processing,Speech-to-Text,https://github.com/m-bain/whisperX
SpeechRecognition,Library for performing speech recognition with multiple backends,Speech Processing,Speech-to-Text,https://github.com/Uberi/speech_recognition
Vosk,Offline speech recognition API supporting 20+ languages,Speech Processing,Speech-to-Text,https://github.com/alphacep/vosk-api
SpeechBrain,PyTorch toolkit for speech processing and conversational AI,Speech Processing,Speech-to-Text,https://github.com/speechbrain/speechbrain
pyannote-audio,Neural speaker diarization and voice activity detection,Speech Processing,Speech-to-Text,https://github.com/pyannote/pyannote-audio
Coqui TTS,Deep learning toolkit for Text-to-Speech,Speech Processing,Text-to-Speech,https://github.com/coqui-ai/TTS
Bark,Transformer-based text-to-audio model with emotions and non-speech sounds,Speech Processing,Text-to-Speech,https://github.com/suno-ai/bark
pyttsx3,Offline text-to-speech conversion library,Speech Processing,Text-to-Speech,https://github.com/nateshmbhat/pyttsx3
Demucs,State-of-the-art music source separation from Meta,Source Separation,,https://github.com/facebookresearch/demucs
audio-separator,Easy stem separation using MDX-Net VR Arch and Demucs models,Source Separation,,https://github.com/nomadkaraoke/python-audio-separator
Asteroid,PyTorch-based audio source separation toolkit for researchers,Source Separation,,https://github.com/asteroid-team/asteroid
pydsm,Google's toolkit for sound separation using deep learning,Source Separation,,https://github.com/google-research/sound-separation
Spleeter,Deezer source separation library (note: Demucs now preferred),Source Separation,,https://github.com/deezer/spleeter
basic-pitch,Spotify's lightweight neural network for polyphonic pitch detection,Music Transcription & Pitch,,https://github.com/spotify/basic-pitch
CREPE,Monophonic pitch tracker using deep convolutional neural network,Music Transcription & Pitch,,https://github.com/marl/crepe
torchcrepe,PyTorch implementation of CREPE pitch tracker,Music Transcription & Pitch,,https://github.com/maxrmorrison/torchcrepe
MT3,Multi-instrument automatic music transcription from Google Magenta,Music Transcription & Pitch,,https://github.com/magenta/mt3
piano_transcription_inference,High-resolution piano transcription with pedal detection,Music Transcription & Pitch,,https://github.com/qiuqiangkong/piano_transcription_inference
AudioCraft,Meta's library for MusicGen AudioGen EnCodec and MAGNeT models,Music Generation & AI,,https://github.com/facebookresearch/audiocraft
Stable Audio Tools,Generative models for conditional audio generation from Stability AI,Music Generation & AI,,https://github.com/Stability-AI/stable-audio-tools
Riffusion,Real-time music generation using stable diffusion on spectrograms,Music Generation & AI,,https://github.com/riffusion/riffusion-hobby
Magenta,Google's machine learning for music and art generation,Music Generation & AI,,https://github.com/magenta/magenta
musicautobot,Music generation with transformers using fastai,Music Generation & AI,,https://github.com/bearpelican/musicautobot
NSynth,Neural audio synthesis model from Magenta,Music Generation & AI,,https://github.com/magenta/magenta/tree/main/magenta/models/nsynth
ctcsound,Python bindings for Csound using ctypes,Synthesis & Sound Design,,https://github.com/csound/ctcsound
Mido,MIDI objects for Python,Synthesis & Sound Design,,https://github.com/mido/mido
Pippi,Computer music composition library,Synthesis & Sound Design,,https://git.sr.ht/~hecanjog/pippi
pyfluidsynth,Python bindings for FluidSynth software synthesizer,Synthesis & Sound Design,,https://github.com/nwhitehead/pyfluidsynth
Python-audio,Jupyter notebooks about audio signal processing with Python,Synthesis & Sound Design,,https://github.com/mgeier/python-audio
Renardo,Maintained fork of FoxDot for Python live coding music,Synthesis & Sound Design,,https://github.com/e-lie/renardo
sc3nb,SuperCollider integration for Python and Jupyter notebooks,Synthesis & Sound Design,,https://github.com/interactive-sonification/sc3nb
Abjad,Python API for building LilyPond music notation files,Music Theory & Composition,,https://github.com/Abjad/abjad
AthenaCL,Algorithmic composition tool (Python 3 fork),Music Theory & Composition,,https://github.com/ales-tsurko/athenaCL
maelzel,Framework for computer music in Python,Music Theory & Composition,,https://github.com/gesellkammer/maelzel
MIDIUtil,Pure Python library for creating multi-track MIDI files,Music Theory & Composition,,https://github.com/MarkCWirt/MIDIUtil
mingus,Advanced music theory and notation package,Music Theory & Composition,,https://github.com/bspaans/python-mingus
music21,Toolkit for computer-aided musical analysis,Music Theory & Composition,,https://github.com/cuthbertLab/music21
MusPy,Toolkit for symbolic music generation,Music Theory & Composition,,https://github.com/salu133445/muspy
pretty-midi,MIDI data handling and manipulation library,Music Theory & Composition,,https://github.com/craffel/pretty-midi
pychord,Handle and transform musical chords,Music Theory & Composition,,https://github.com/yuma-m/pychord
scamp,Suite for Computer-Assisted Music in Python,Music Theory & Composition,,https://github.com/MarcTheSpark/scamp
audiostream,Audio API for streaming raw data to speakers,Playback & Services,,https://github.com/kivy/audiostream
beets,Music library manager and MusicBrainz tagger,Playback & Services,,https://github.com/beetbox/beets
discord.py,Python wrapper for Discord API with music streaming,Playback & Services,,https://github.com/Rapptz/discord.py
freesound-python,Freesound API wrapper for audio retrieval and analysis,Playback & Services,,https://github.com/MTG/freesound-python
miniaudio,Python bindings for miniaudio audio playback library,Playback & Services,,https://github.com/irmen/pyminiaudio
Mopidy,Extensible music server written in Python,Playback & Services,,https://github.com/mopidy/mopidy
Mopidy-YouTube,Mopidy extension for playing music from YouTube,Playback & Services,,https://github.com/natumbri/mopidy-youtube
mpv,Python interface to MPV media player,Playback & Services,,https://github.com/jaseg/python-mpv
MusicBot,Discord music bot written in Python,Playback & Services,,https://github.com/just-some-bots/MusicBot
pyAV,Pythonic bindings for FFmpeg libraries,Playback & Services,,https://github.com/PyAV-org/PyAV
pygame.mixer,Pygame module for sound loading and playback,Playback & Services,,https://github.com/pygame/pygame
pyglet,Cross-platform windowing and multimedia library,Playback & Services,,https://github.com/pyglet/pyglet
pyradio,Command line internet radio player,Playback & Services,,https://github.com/coderholic/pyradio
Spotipy,Python client for the Spotify Web API,Playback & Services,,https://github.com/spotipy-dev/spotipy
AudioSet,Large-scale dataset of manually annotated audio events,Datasets,Audio,https://research.google.com/audioset/
Birdsong,Dataset of annotated bird songs and calls,Datasets,Audio,https://www.kaggle.com/c/birdsong-recognition
Common Voice,Mozilla's open source multilingual speech dataset,Datasets,Audio,https://commonvoice.mozilla.org/
ESC-50,Environmental sound classification dataset,Datasets,Audio,https://github.com/karolpiczak/ESC-50
Free Spoken Digit Dataset,Dataset of spoken digits in English,Datasets,Audio,https://github.com/Jakobovski/free-spoken-digit-dataset
Freesound Dataset,Collaborative dataset of audio samples from Freesound,Datasets,Audio,https://datasets.freesound.org/fsd/
LibriSpeech,Large corpus of read English speech for ASR research,Datasets,Audio,https://www.openslr.org/12
RAVDESS,Audio-visual dataset of emotional speech and song,Datasets,Audio,https://zenodo.org/record/1188976
Speech Commands,Dataset for speech command recognition,Datasets,Audio,https://www.tensorflow.org/datasets/catalog/speech_commands
TIDIGITS,Spoken digit dataset for speech recognition,Datasets,Audio,https://catalog.ldc.upenn.edu/LDC93S10
UrbanSound8K,8000 urban sound samples in 10 classes,Datasets,Audio,https://urbansounddataset.weebly.com/urbansound8k.html
VCTK,Multispeaker speech dataset for voice technologies,Datasets,Audio,https://datashare.ed.ac.uk/handle/10283/3443
VoxCeleb,Large-scale speaker identification dataset,Datasets,Audio,https://www.robots.ox.ac.uk/~vgg/data/voxceleb/
Beatport EDM Key,Electronic dance music tracks with musical key labels,Datasets,Music,https://zenodo.org/record/1101082
DALI,Dataset of lyrics and audio with time alignments,Datasets,Music,https://github.com/gabolsgabs/DALI
DEAM,MediaEval dataset for music emotion recognition,Datasets,Music,https://cvml.unige.ch/databases/DEAM/
FMA,Free Music Archive dataset for music analysis,Datasets,Music,https://github.com/mdeff/fma
GiantMIDI-Piano,Large-scale MIDI dataset of classical piano music,Datasets,Music,https://github.com/bytedance/GiantMIDI-Piano
hsmusic,Huge symbolic music dataset,Datasets,Music,https://github.com/Didayolo/hsmusic
IRMAS,Instrument recognition in musical audio signals,Datasets,Music,https://www.upf.edu/web/mtg/irmas
Jamendo Audio Tagging,Multi-label audio tagging dataset,Datasets,Music,https://github.com/MTG/mtg-jamendo-dataset
LAION-Audio-630K,Large collection of audio-text pairs for CLAP training,Datasets,Music,https://github.com/LAION-AI/audio-dataset
MAESTRO,MIDI and audio dataset for music transcription and generation,Datasets,Music,https://magenta.tensorflow.org/datasets/maestro
MagnaTagATune,Dataset for music annotation and audio tagging,Datasets,Music,http://mirg.city.ac.uk/codeapps/the-magnatagatune-dataset
MedleyDB,Dataset for multi-track mixing research,Datasets,Music,https://medleydb.weebly.com/
Musdb18,Dataset for music source separation,Datasets,Music,https://sigsep.github.io/datasets/musdb.html
MusicCaps,Dataset of music clips with rich text descriptions,Datasets,Music,https://www.kaggle.com/datasets/googleai/musiccaps
MusicNet,Dataset of classical music with instrument labels,Datasets,Music,https://zenodo.org/record/5120004
NSynth,Large-scale dataset of annotated musical notes,Datasets,Music,https://magenta.tensorflow.org/datasets/nsynth
Open MIC,Open Music Instrument Classification dataset,Datasets,Music,https://zenodo.org/record/1432913
RWC Music Database,Musical instrument sound genre and rhythm databases,Datasets,Music,https://staff.aist.go.jp/m.goto/RWC-MDB/
symbolic-music-datasets,Collection of symbolic music datasets,Datasets,Music,https://github.com/wayne391/symbolic-music-datasets
The Million Song Dataset,Massive collection of audio features and metadata,Datasets,Music,http://millionsongdataset.com/
librosa tutorial - Introduction,Advanced librosa tutorial covering spectrograms and remixing,Tutorials,,https://iq.opengenus.org/introduction-to-librosa/
librosa tutorial - Visualization,Visualizing sounds using librosa and matplotlib,Tutorials,,https://www.analyticsvidhya.com/blog/2021/06/visualizing-sounds-librosa/
PyDub tutorial,Working with WAV files using PyDub,Tutorials,,https://www.geeksforgeeks.org/working-with-wav-files-in-python-using-pydub/
Whisper tutorial,Using OpenAI Whisper for speech-to-text,Tutorials,,https://github.com/openai/whisper/discussions/categories/guides
